syntax-test-p,negative-syntax-test-p,query-evaluation-test-p,type,suite,collection,name,failedp,implementedp,parsing-succeeded-p,translation-succeeded-p,initialization-succeeded-p,rule-type,different-semantics-p,running-succeeded-p,comparing-succeeded-p
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-08,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-09,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-10,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-11,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-12,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-13,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-14,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-15,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-16,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-17,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-18,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-19,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-20,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-21,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-22,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-23,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-24,True,True,True,True,True,ASK,False,True,False
